(Inn of Elchea, Elchea)
(Inn of Elchea, Imanity)
(Inn of Elchea, Sora)
(Inn of Elchea, Volume 1)
(Inn of Elchea, Tet)
(Inn of Elchea, Shiro)
(Inn of Elchea, Inn-keeper)
(Episode 04, Jibril)
(Episode 04, Hatsuse Izuna)
(Episode 04, Episode 03)
(Episode 04, Episode 05)
(Episode 04, Chlammy Zell)
(Episode 04, Miko)
(Episode 04, Tet)
(Episode 04, Shiro)
(Episode 04, Exceed)
(Episode 04, No Game, No Life)
(Episode 04, Three unnamed thieves)
(Episode 04, Race Piece)
(Episode 04, Fiel Nirvalen)
(Episode 04, Hatsuse Ino)
(Episode 04, Volume 1)
(Episode 04, Sora)
(Episode 04, Elderly official)
(Episode 04, Clammy Zell)
(Episode 04, Former king of Imanity)
(Episode 04, Inn-keeper)
(Episode 04, Elchea Kingdom)
(Episode 04, Stephanie Dola)
(Three unnamed thieves, Unnamed thieves)
(Demon King, The Great War)
(Demon King, Demonia)
(No Game, No Life Practical War Game, Gaiden Volume - Practical War Game)
(Fiel Nilvalen/Image Gallery, Fiel Nirvalen/Image Gallery)
(Chlammy Zell/Image Gallery, Clammy Zell/Image Gallery)
(Brain Battle For Imanity, Sora)
(Brain Battle For Imanity, Episode 01)
(Brain Battle For Imanity, Shiro)
(Amira, Laira)
(Amira, Seiren)
